action_name,cast_time_millisecond
SUITON,0
KUNAIS_BANE,2200
DREAM_WITHIN_A_DREAM,2900
TENCHIJIN,3600
TCJ_FUMA_SHURIKEN,4300
TCJ_RAITON,5300
TCJ_SUITON,6300
KASSATSU,7100
ARMOR_CRUSH,7800
MEISUI,8500
MEDICATED,9200
RAITON,10000
DOKUMORI,11800
AEOLIAN_EDGE,12500
SPINNING_EDGE,14700
GUST_SLASH,17000
ZESHO_MEPPO,17700
AEOLIAN_EDGE,19200
GUST_SLASH,21400
TENRI_JINDO,22300
ARMOR_CRUSH,23600
SPINNING_EDGE,25900
AEOLIAN_EDGE,28200
ARMOR_CRUSH,30400
ARMOR_CRUSH,32600
ARMOR_CRUSH,34800
GUST_SLASH,37000
AEOLIAN_EDGE,39200
SPINNING_EDGE,41400
ARMOR_CRUSH,43600
SPINNING_EDGE,45800
RAITON,48000
AEOLIAN_EDGE,50500
RAITON,52700
FLEETING_RAIJU,55300
AEOLIAN_EDGE,57500
AEOLIAN_EDGE,59700
GUST_SLASH,61900
DREAM_WITHIN_A_DREAM,62900
SPINNING_EDGE,64100
GUST_SLASH,66300
KASSATSU,67200
SPINNING_EDGE,68500
RAITON,70700
GUST_SLASH,73200
SPINNING_EDGE,75500
ARMOR_CRUSH,77700
HYOSHO_RANRYU,80000
AEOLIAN_EDGE,82500
GUST_SLASH,84700
AEOLIAN_EDGE,86900
AEOLIAN_EDGE,89100
RAITON,91300
SPINNING_EDGE,93800
BUNSHIN,94600
SPINNING_EDGE,96000
PHANTOM_KAMAITACHI,98200
ARMOR_CRUSH,100400
AEOLIAN_EDGE,102700
ARMOR_CRUSH,104900
AEOLIAN_EDGE,107100
RAITON,109300
GUST_SLASH,111800
ARMOR_CRUSH,114000
ARMOR_CRUSH,116200
AEOLIAN_EDGE,118400
ARMOR_CRUSH,120600
SPINNING_EDGE,122800
DREAM_WITHIN_A_DREAM,123500
TENCHIJIN,124300
TCJ_FUMA_SHURIKEN,125100
TCJ_RAITON,126100
TCJ_SUITON,127400
KUNAIS_BANE,128200
SUITON,128900
KASSATSU,131100
DOKUMORI,131800
ARMOR_CRUSH,132600
MEISUI,133400
ZESHO_MEPPO,134300
HYOSHO_RANRYU,135000
TENRI_JINDO,136900
SPINNING_EDGE,137600
ARMOR_CRUSH,139900
SPINNING_EDGE,142100
AEOLIAN_EDGE,144300
AEOLIAN_EDGE,146500
SPINNING_EDGE,148700
SPINNING_EDGE,150900
ARMOR_CRUSH,153100
AEOLIAN_EDGE,155300
SUITON,157600
AEOLIAN_EDGE,160600
AEOLIAN_EDGE,162800
AEOLIAN_EDGE,165200
GUST_SLASH,167600
ARMOR_CRUSH,169800
AEOLIAN_EDGE,172000
RAITON,174300
GUST_SLASH,176800
AEOLIAN_EDGE,179000
AEOLIAN_EDGE,181300
SPINNING_EDGE,183500
DREAM_WITHIN_A_DREAM,184200
BHAVACAKRA,184900
SPINNING_EDGE,185700
SPINNING_EDGE,187900
SUITON,190100
KASSATSU,192300
GUST_SLASH,193100
KUNAIS_BANE,193900
ARMOR_CRUSH,195300
ARMOR_CRUSH,197500
SPINNING_EDGE,199700
AEOLIAN_EDGE,201900
HYOSHO_RANRYU,204100
ARMOR_CRUSH,206600
RAITON,208800
ARMOR_CRUSH,211300
SPINNING_EDGE,213600
AEOLIAN_EDGE,215800
GUST_SLASH,218000
SPINNING_EDGE,220200
GUST_SLASH,222500
AEOLIAN_EDGE,224700
GUST_SLASH,226900
RAITON,229100
GUST_SLASH,231800
AEOLIAN_EDGE,234100
SPINNING_EDGE,236300
AEOLIAN_EDGE,238500
AEOLIAN_EDGE,240700
AEOLIAN_EDGE,243000
DREAM_WITHIN_A_DREAM,244300
TENCHIJIN,245100
TCJ_FUMA_SHURIKEN,246200
TCJ_RAITON,247300
TCJ_SUITON,248600
TENRI_JINDO,249400
AEOLIAN_EDGE,250100
DOKUMORI,251800
SUITON,252500
BUNSHIN,254700
PHANTOM_KAMAITACHI,255600
MEISUI,256300
KASSATSU,257100
GUST_SLASH,257800
ARMOR_CRUSH,260000
AEOLIAN_EDGE,262200
SPINNING_EDGE,264400
ZESHO_MEPPO,265100
GUST_SLASH,266600
AEOLIAN_EDGE,268800
GUST_SLASH,271000
SUITON,273200
KUNAIS_BANE,275600
SPINNING_EDGE,276300
SPINNING_EDGE,278500
MEDICATED,279500
AEOLIAN_EDGE,280700
GUST_SLASH,282900
AEOLIAN_EDGE,285200
AEOLIAN_EDGE,287400
SUITON,289700
ARMOR_CRUSH,292700
GUST_SLASH,294900
AEOLIAN_EDGE,297300
SPINNING_EDGE,299500
AEOLIAN_EDGE,301700
ARMOR_CRUSH,304000
DREAM_WITHIN_A_DREAM,304900
SPINNING_EDGE,306200
AEOLIAN_EDGE,308400
AEOLIAN_EDGE,310600
SPINNING_EDGE,312900
GUST_SLASH,315200
KASSATSU,317200
HYOSHO_RANRYU,318000
GUST_SLASH,320500
BHAVACAKRA,321400
SPINNING_EDGE,322700
RAITON,324900
SPINNING_EDGE,327400
SPINNING_EDGE,329600
GUST_SLASH,331800
GUST_SLASH,334000
AEOLIAN_EDGE,336300
SPINNING_EDGE,338500
ARMOR_CRUSH,340700
SUITON,342900
KUNAIS_BANE,345100
SPINNING_EDGE,346200
AEOLIAN_EDGE,348400
SUITON,350600
GUST_SLASH,353600
ARMOR_CRUSH,356000
SPINNING_EDGE,358300
